VG	3/11	smitteområde
VG	3/11	spesial
DN	3/11	splitt
BT	3/11	symptom
DA	3/11	telt
AA	3/12	anslag
DB	3/12	arbeide
DB	3/12	bakrus
NL	3/12	bekymring
AA	3/12	forbehold
DA	3/12	handling
AP	3/12	isolat
DN	3/12	jus
VG	3/12	klausul
BT	3/12	klinikk
DB	3/12	kontor
DA	3/12	krav
DA	3/12	kø
DB	3/12	liknende
DB	3/12	lock
NL	3/12	mottak
BT	3/12	podd
DA	3/12	psyke
DA	3/12	senter
DB	3/12	smittesentere
DA	3/12	telefonoperatøre
DA	3/12	telte
FV	3/12	utbredelse
SA	3/12	utsettelse
DB	3/12	valg
BT	3/12	vern
NL	3/12	virusforløp
VG	3/12	viruskrise
DA	3/12	virustelefon
DB	3/12	virustoppe
DB	3/13	asyl
AP	3/13	bidrag
DN	3/13	boom
AP	3/13	diagnostikk
DB	3/13	feste
VG	3/13	forslag
BT	3/13	herje
VG	3/13	isolere
AA	3/13	knapp
AP	3/13	konto
VG	3/13	kontrast
NL	3/13	kort
DN	3/13	kraft
DA	3/13	løft
DB	3/13	medisiner
DA	3/13	moral
DB	3/13	musikal
AP	3/13	news
VG	3/13	norge
VG	3/13	overkjøre
AP	3/13	pakke
SA	3/13	robot
AP	3/13	rutine
SA	3/13	stansede
AP	3/13	strande
AP	3/13	unntakstilstand
VG	3/13	virkning
DB	3/13	virussyke
AP	3/13	virustype
NL	3/13	øvelse
VG	3/14	dvale
DB	3/14	greie
SA	3/14	hjelpe
DB	3/14	hysteri
DB	3/14	kommentar
DB	3/14	krangel
VG	3/14	krangling
DA	3/14	kutt
DB	3/14	mobilisering
DB	3/14	politi
DN	3/14	rabatt
AA	3/14	regjering
DB	3/14	rød
SA	3/14	solidaritet
VG	3/14	spøk
DA	3/14	støv
VG	3/14	vesen
VG	3/15	bekreftelse
NL	3/15	bykse
BT	3/15	ferie
DB	3/15	fest
FV	3/15	hverdag
VG	3/15	konsertkonsept
VG	3/15	krakke
SA	3/15	krig
AA	3/15	krisefond
DB	3/15	lov
VG	3/15	pause
DB	3/15	raseri
DN	3/15	respons
DB	3/15	straffe
NL	3/15	strategi
AA	3/15	tiltakspakke
VG	3/15	tjeneste
VG	3/15	trygg
AA	3/15	unntak
NL	3/15	utfordring
VG	3/15	varsku
AA	3/15	virusgruppe
VG	3/16	avgjørelse
AA	3/16	bedrager
DA	3/16	bekjempelse
DB	3/16	døde
DB	3/16	dødstall
DA	3/16	eksplosjon
VG	3/16	episenter
DB	3/16	forhandling
DA	3/16	innsats
VG	3/16	jobbing
DA	3/16	karantenebrudd
AA	3/16	kode
DB	3/16	komité
VG	3/16	kos
NL	3/16	kurve
DB	3/16	oversikt
DB	3/16	rapport
DA	3/16	regning
