SA	20/03/05	smittede/mistenkte
SA	20/03/05	smittedes
SA	20/03/05	sms
DA	20/03/05	stanser
NL	20/03/05	stengt
VG	20/03/05	testen
BT	20/03/05	testingen
SA	20/03/05	virustelt
DB	20/03/06	avlyser
DB	20/03/06	beskjeden
DN	20/03/06	effektene
DA	20/03/06	gruppe
AA	20/03/06	historien
VG	20/03/06	hjelp
DN	20/03/06	konsekvenser
NL	20/03/06	nekt
BT	20/03/06	nytt
VG	20/03/06	panikk
DN	20/03/06	perioden
VG	20/03/06	rammet
AA	20/03/06	risikoen
VG	20/03/06	rådene
AA	20/03/06	saken
DN	20/03/06	sjokket
DB	20/03/06	svar
AA	20/03/06	virusfrykt
DB	20/03/06	vits
SA	20/03/07	brems
DB	20/03/07	grepene
AA	20/03/07	hotell
VG	20/03/07	håndtering
AA	20/03/07	isolasjon
AA	20/03/07	kansellerte
DA	20/03/07	konferanse
DA	20/03/07	kontroll
VG	20/03/07	pandemien
AP	20/03/07	panikken
AP	20/03/07	positive
BT	20/03/07	reglene
AA	20/03/07	restriksjoner
BT	20/03/07	status
AP	20/03/07	stenging
DB	20/03/07	virustider
AP	20/03/08	eksponering
AA	20/03/08	faren
BT	20/03/08	faste
VG	20/03/08	hensyn
VG	20/03/08	mareritt
AA	20/03/08	prøven
AA	20/03/08	relaterte
VG	20/03/08	smitt
DB	20/03/08	trend
BT	20/03/08	vedtak
VG	20/03/08	virusalarmen
AA	20/03/09	alarmen
BT	20/03/09	anbefalingene
DB	20/03/09	helvete
SA	20/03/09	jakt
DB	20/03/09	knipe
DA	20/03/09	krisepakke
AP	20/03/09	kupp
DB	20/03/09	opprør
VG	20/03/09	pasienten
DB	20/03/09	permittert
DB	20/03/09	pressekonferanse
SA	20/03/09	telefoner
VG	20/03/09	uvær
AA	20/03/09	virusfrykten
SA	20/03/09	viruspandemien
VG	20/03/10	analyser
SA	20/03/10	avbestillinger
DA	20/03/10	avlysninger
DA	20/03/10	delen
VG	20/03/10	dugnad
VG	20/03/10	dødsrate
VG	20/03/10	dødsraten
AA	20/03/10	eksponeringen
DB	20/03/10	eksponert
AA	20/03/10	endringer
AA	20/03/10	filmen
AP	20/03/10	fravær
DB	20/03/10	håndteringen
DA	20/03/10	innleggelser
VG	20/03/10	jobbproblemer
NL	20/03/10	knekken
AP	20/03/10	knipen
FV	20/03/10	konkurser
DB	20/03/10	krisa
DA	20/03/10	linja
VG	20/03/10	politikk
VG	20/03/10	praksis
AP	20/03/10	prøvetaking
AP	20/03/10	skandale
DN	20/03/10	smell
SA	20/03/10	smitta
VG	20/03/10	smittefaren
